,user,date,text,favorite_count
0,realDonaldTrump,Sun May 17 12:34:18 +0000 2020,Phyllis George was a great person and a true pioneer for women in television. The NFL could not have made a better… https://t.co/KF0cUaBNru,75352
2,AJDelgado13,Sun May 17 16:21:01 +0000 2020,"Remember that video of Biden partying w #Epstein surrounded by young women? 

Oh wait - it wasn’t Biden.",35061
6,morninggloria,Mon May 18 00:25:50 +0000 2020,Absolutely wild to me that the same people who think women should be forced to be pregnant for 9 months to keep a f… https://t.co/08OBQg7sQT,33696
1,bennyjohnson,Sun May 17 16:49:23 +0000 2020,"Shocking celebrity PSA just dropped against @JoeBiden - calling out his long history of abuse toward women.

Stunni… https://t.co/L7VFP2Lhme",21566
7,nytimes,Sat May 16 21:40:04 +0000 2020,Countries led by women seem to be particularly successful in fighting the coronavirus. Experts say that may offer s… https://t.co/sVLVRoeEVN,19746
12,ImranKhanPTI,Sun May 17 11:07:08 +0000 2020,"inhumane weapons like pellet guns against women &amp; children; two, imposing an inhumane lockdown depriving Kashmiris… https://t.co/xRR3A1BTFn",15673
11,AskAnshul,Mon May 18 05:55:22 +0000 2020,"Karnataka:

Two Muslim women targeted by people from minority community for shopping from a non-Muslim shop in Dava… https://t.co/MozhzZwELM",12776
4,charliekirk11,Mon May 18 14:08:50 +0000 2020,This is your daily reminder that one of the women who accused the great and honorable Justice Kavanaugh admitted sh… https://t.co/MJDJbcWlXX,11843
9,bronze_bombSHEL,Sun May 17 16:16:43 +0000 2020,I never understood why Black women were buying + wearing  Sk*ms — But that tweet with the “nude” shade for the Blac… https://t.co/mH5hrU5Ald,8963
5,ShobhaBJP,Sun May 17 12:32:13 +0000 2020,"Whether Karnataka is an Islamic Republic!!!???

Radicals threatening Muslim women for purchasing garments from a Hi… https://t.co/U7jkdChnpT",8385
10,RyanAFournier,Sun May 17 21:58:29 +0000 2020,"The videos of Joe Biden being creepy with women and children aren’t edited...

He actually does it!

Yet people lik… https://t.co/aBQjDUnlYz",8258
3,OpIndia_com,Sun May 17 14:48:49 +0000 2020,"Watch: Muslim mobs in Karnataka threaten and abuse Muslim women for purchasing goods from Hindu owned shops

https://t.co/wBKT5HuNYV",6534
8,TimesNow,Mon May 18 03:25:13 +0000 2020,"Trouble for TikTok star Faizal Siddiqui.

NCW takes cognizance of a TikTok video where he was found ‘glorifying’ ac… https://t.co/5YeqJS0XtM",4495
14,OpIndia_com,Mon May 18 04:30:00 +0000 2020,The mob can also seen hounding the burqa-clad women for carrying their purchases in 'saffron' covers and then snatc… https://t.co/dxyM5eC1O0,4469
13,TimesNow,Mon May 18 08:12:28 +0000 2020,#HinduPhobiaOnTape | 2 Muslim women targeted by men of Muslim community for buying clothes for Ramzan from a non-Mu… https://t.co/56gJ7E1Bpp,1895
